7D.J45C,46.520901,-127.904701,-2742.0,313645000.0,313645000.0,313645000.0,2013-08-03,2014-07-07
7D.J51A,46.797001,-126.164101,-2610.0,971188000.0,971188000.0,971188000.0,2011-10-19,2012-08-07
7D.J51C,46.7957,-126.163101,-2626.0,971188000.0,971188000.0,971188000.0,2013-09-06,2014-07-01
7D.J52A,46.992001,-127.0159,-2613.0,313645000.0,313645000.0,313645000.0,2011-11-28,2012-05-18
7D.J52C,46.992001,-127.0158,-2640.0,1846390000.0,1846390000.0,1846390000.0,2013-08-20,2014-05-31
7D.J53A,47.1642,-127.922096,-2686.0,629141000.0,632496000.0,626624000.0,2011-11-28,2012-05-18
7D.J53C,47.164299,-127.922302,-2717.0,1846390000.0,1846390000.0,1846390000.0,2013-08-20,2014-05-31
7D.J59A,47.509602,-126.415298,-2371.0,971188000.0,971188000.0,971188000.0,2011-10-19,2012-07-11
7D.J59C,47.511101,-126.416801,-2389.0,971188000.0,971188000.0,971188000.0,2013-09-05,2014-06-27
7D.J67A,48.150002,-127.084198,-2612.0,313645000.0,313645000.0,313645000.0,2011-11-26,2012-05-19
7D.J67C,48.151001,-127.0868,-2581.0,629980000.0,625786000.0,623269000.0,2013-08-05,2014-05-19
7D.J68A,48.480999,-127.829201,-2590.0,630819000.0,625786000.0,619914000.0,2011-11-25,2012-05-19
7D.J68C,48.481098,-127.8293,-2587.0,1846390000.0,1846390000.0,1846390000.0,2013-08-20,2014-05-31
7D.J73A,48.7677,-126.192497,-143.3,1846390000.0,1846390000.0,1846390000.0,2011-10-18,2012-07-17
7D.J73C,48.767899,-126.192596,-133.0,1846390000.0,1846390000.0,1846390000.0,2013-08-19,2014-05-30
7D.M03A,47.888302,-126.103996,-1818.0,971188000.0,971188000.0,971188000.0,2011-10-19,2012-07-11
7D.M03C,47.888401,-126.104599,-1839.0,1846390000.0,1846390000.0,1846390000.0,2013-08-19,2014-05-30
